지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),일 최심적설(cm),평균 전운량(1/10),PM-10,PM-2.5,오존,이산화질소,일산화탄소,아황산가스,안개 계속시간(hr),기사
119,수원,2025-06-28,26,0.2,1.5,83.4,0.5,,8.8,31,25,0.0471,0.0108,0.33,0.0017,,{비}0102-0117. {비}0123-0238. -{박무}-{박무}{강도1}0300-{박무}{강도0}0600-{박무}{강도0}0900-0908. {비}0606-0618. {비}0802-0817. {비}0827-0855. {비}1250-1305. {비}1330-1428.
119,수원,2025-06-29,26.8,,1.9,77,4.9,,5.4,10,9,,0.0052,0.21,0.0018,,{박무}0030-{박무}{강도0}0300-0305. {박무}0340-{박무}{강도0}0600-0610.
119,수원,2025-06-30,27.4,,1.9,75.3,6.9,,6.8,7,7,0.0177,0.0073,0.2,0.002,,
119,수원,2025-07-01,27.6,2.3,2.1,81.1,4.4,,6.1,7,6,0.0196,0.0067,0.19,0.0024,,{비}0607-0652. {비}0703-0749. {비}0831-{비}{강도0}0900-0913. {비}1034-1040. {소나기}1103-1128. {소나기}1158-{소나기}{강도0}1200-1234. {소나기}1602-1607.
119,수원,2025-07-02,27.7,,2.2,79.6,4.1,,7.3,10,8,0.0211,0.0066,0.2,0.0027,,
119,수원,2025-07-03,27.4,,2.3,76.1,5.1,,7.4,20,14,0.0229,0.0072,0.24,0.0025,,{박무}0158-{박무}{강도0}0300-0317. {박무}0515-{박무}{강도0}0600-0730.
119,수원,2025-07-04,26.6,,2.6,77.1,1.2,,8,20,11,0.0281,0.007,0.27,0.0024,,
119,수원,2025-07-05,27.7,,2.3,74,5.9,,6,19,10,0.0325,0.0052,0.24,0.0023,,{박무}2250-2325.
119,수원,2025-07-06,27.9,,1.8,76.6,3,,7,21,12,0.0428,0.0049,0.25,0.0023,,
119,수원,2025-07-07,28.2,,1.7,77.5,3.4,,5.8,39,28,0.0615,0.0108,0.37,0.0022,,{박무}0205-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-1221. {박무}2301-{박무}{강도0}2400-
119,수원,2025-07-08,29.2,17.4,1.4,76.8,7.9,,4.1,35,25,0.0572,0.0135,0.39,0.0021,,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-0759. ]{우박}[(d 0.5)(NE 3)/경기도 수원시 화서동 일대/KBS 뉴스1715- {소나기}1724-1730.1755. {소나기}1850-1902. {소나기}1914- {시정(미만)}{1km}{소나기}1923-{시정(이상)}{1km}{소나기}1928-2031.
119,수원,2025-07-09,30.8,,2.4,61.1,10.9,,1.6,22,15,0.047,0.0092,0.33,0.0022,,
119,수원,2025-07-10,30.5,,2.8,45.4,13.2,,0.1,18,10,0.0429,0.0077,0.28,0.0021,,
119,수원,2025-07-11,29.4,,3.2,43.9,13.2,,0.1,17,9,0.0459,0.007,0.25,0.0021,,
119,수원,2025-07-12,28.3,,2.5,50.3,12.6,,2.5,17,8,0.0449,0.0082,0.26,0.0023,,
119,수원,2025-07-13,24.8,1.5,1.2,77.6,1.3,,8.5,30,19,0.0505,0.0135,0.36,0.0028,,{비}1347-{비}{강도0}1500-1624. {비}1707-{비}{강도0}1800-1818. {박무}2031-{박무}{강도0}2100-2159. {박무}2231-{박무}{강도0}2400-
119,수원,2025-07-14,23,16.3,1.6,85,3.2,,7.8,23,15,0.039,0.0111,0.33,0.0025,,-{박무}-0024. {박무}0151-{박무}{강도0}0300-{박무}{강도0}0600-0709. {비}1415-{비}{강도0}1500-{비}{강도0}1800-2043. {박무}1533-{박무}{강도0}1800-2020. {비}2112-{비}{강도1}2400- {박무}2225-{박무}{강도0}2400-
119,수원,2025-07-15,22.3,5.2,2.1,88.8,0.1,,8.9,12,4,0.0311,0.0101,0.28,0.0022,,-{박무}-0008. {박무}0040-0109. -{비}-{비}{강도0}0300-0448. {비}0538-{비}{강도0}0600-0711. {비}0740-0839. {비}1155-{비}{강도0}1200-1215. {비}1314-{비}{강도0}1500-1517.
119,수원,2025-07-16,22.7,43.3,2.5,89,0,,9.9,19,10,0.0426,0.0109,0.32,0.0022,,{비}0350-0515. {박무}0528-{박무}{강도0}0600-0634. {비}0625-0638. {비}1155-{비}{강도0}1200-{비}{강도0}1500-{비}{강도1}1800-2009. {박무}1332-{박무}{강도0}1500-1648. {비}2028-2053. {비}2209-2214. {비}2223-{비}{강도0}2400-
119,수원,2025-07-17,22.9,68.1,2.9,90.9,0,,10,7,4,0.0481,0.0097,0.29,0.0021,,-{비}-0010. {비}0031-{비}{강도1}0300-0507. {비}0518-{비}{강도0}0600-{비}{강도1}0900-0948. {비}1102-{비}{강도0}1200-1354. {비}1412-1442. {비}1653-{비}{강도0}1800-1920. {비}2032-{비}{강도0}2100-2130.
119,수원,2025-07-18,25.3,0.7,1.7,82.4,0.2,,9.4,12,5,0.0415,0.0155,0.33,0.0022,,{비}0810-0830. {비}0915-0945. {비}2333-2350.
119,수원,2025-07-19,24.3,47,2,91.5,0,,9.9,10,3,0.0287,0.0109,0.28,0.0021,,{비}0012-0022. {비}0121-0150. {비}0227-{시정(미만)}{1km}{비}0233-{시정(이상)}{1km}{비}0245-{비}{강도1}0300-{비}{강도0}0600-{이슬비}0637-{비}0705-{이슬비}0735-{비}0752-0813. {비}0823-0854. {비}0942-1020. {비}1051-1103. {비}1223-1238. {비}1425-1449. {비}1635-1705. {비}1734-1758. {비}1924-{시정(미만)}{1km}{비}2032-{시정(이상)}{1km}{비}2043-{비}{강도1}2100-2133. {박무}1927-1930. {비}2148-{시정(미만)}{1km}{비}2157-{시정(이상)}{1km}{비}2206-{시정(미만)}{1km}{비}2210-{시정(이상)}{1km}{비}2214-2227. {비}2243-2319. {비}2324-{비}{강도0}2400-
119,수원,2025-07-20,27.2,3.2,1.9,80.1,4,,7.8,14,6,0.0185,0.005,0.22,0.0027,,-{비}-0103. {비}0137-0220. {비}0235-{비}{강도0}0300-0356. {비}0411-0412.
119,수원,2025-07-21,27.4,0.5,1.7,82.3,5.5,,4.6,15,8,0.0172,0.008,0.23,0.0029,,{비}0625-0707. {소나기}0824-0828. {소나기}1017-1032. {소나기}1116-1125. {소나기}1318-1324. {소나기}1331-1339. {소나기}1431-1455.
119,수원,2025-07-22,27.7,3.1,1.7,81,7.9,,6.9,16,6,0.0198,0.0074,0.21,0.0029,,{소나기}1230-1247. {소나기}1312-1350. {소나기}1413-1416.
119,수원,2025-07-23,28,,1.3,77,10.1,,4.9,17,8,0.0228,0.0099,0.23,0.0027,,{박무}0320-{박무}{강도0}0600-0620.
119,수원,2025-07-24,28.3,,1.3,72.5,8.8,,4.5,24,13,0.0344,0.0122,0.28,0.0027,,
119,수원,2025-07-25,29.7,,1.2,70.8,11.8,,0.8,33,21,0.0536,0.0127,0.31,0.0025,,
119,수원,2025-07-26,30.8,,1.7,66.4,12.5,,2.9,26,17,0.0497,0.0109,0.3,0.0026,,
119,수원,2025-07-27,30.7,,2,65.4,12.8,,0.4,20,13,0.0505,0.0074,0.27,0.0025,,
119,수원,2025-07-28,29.5,,1.7,71.5,12.7,,0.8,40,25,0.0548,0.0115,0.33,0.0029,,{박무}0205-0240. {박무}0320-0410. {박무}0510-{박무}{강도0}0600-0633.
119,수원,2025-07-29,30.1,,1.5,68.9,11,,2.6,41,26,0.0611,0.0149,0.36,0.0029,,{박무}2324-{박무}{강도0}2400-
119,수원,2025-07-30,30.2,0,1.6,65.5,7.2,,6,34,22,0.0486,0.0154,0.34,0.0024,,-{박무}-0046. {박무}0051-0113. {박무}0130-0131. {박무}0134-0232. {박무}0603-0702. {비}2330-2340.
119,수원,2025-07-31,30.2,,1.7,62.3,4.6,,7.5,32,19,0.0539,0.0117,0.31,0.0031,,
119,수원,2025-08-01,29.4,,1.5,69.9,7.3,,7.4,36,24,0.0602,0.0122,0.34,0.0029,,{박무}2240-{박무}{강도0}2400-
119,수원,2025-08-02,29.5,,1.6,71.9,9.9,,5.4,40,26,0.0459,0.0131,0.34,0.0029,,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-0917. {연무}0912-1012.
119,수원,2025-08-03,26.8,6.7,1.7,77.9,0.1,,8.9,30,21,0.0332,0.0119,0.32,0.0027,,{비}1530-{비}{강도0}1800-2050. {비}2126-2353.
119,수원,2025-08-04,26.7,5.8,1.6,80.5,3.3,,8.6,18,11,0.0399,0.0083,0.27,0.0023,,{비}0018-0252. {이슬비}0638-0727. {비}0808-0842.
119,수원,2025-08-05,27.4,,1.7,77.1,7.2,,5.1,18,10,0.0358,0.0086,0.27,0.0025,,{박무}0524-{박무}{강도1}0600-0631.
119,수원,2025-08-06,26.6,4.6,2.4,89.3,0.3,,8.5,17,8,0.0362,0.0094,0.27,0.0023,,{비}0149-0151. {비}0203-0251. {비}0713-0743. {비}0758-0808. {비}0817-0838. {비}0859-{비}{강도0}0900-0921. {비}1143-{비}{강도0}1200-1223. {비}1344-{비}{강도0}1500-1627.
119,수원,2025-08-07,26.9,,2.3,76.8,9.4,,5.1,17,8,0.0476,0.0084,0.32,0.0024,,{박무}0436-{박무}{강도0}0600-0632.
119,수원,2025-08-08,25.9,,1.7,75.4,6.4,,7.3,28,11,0.0428,0.013,0.32,0.0026,,{박무}0545-{박무}{강도0}0600-0650.
