Incident_Date,Aircaft_Damage_Type,Time,Onboard_Total,Fatalities,Aircraft_Brand,Operator_Main,Engine_Brand,Aircraft_Age,City,lat,lng,incident_dt,weather_time_utc,temp_2m,rh_2m,dewpoint_2m,cloudcover,windspeed_10m,winddir_10m,surface_pressure,precipitation,rain,showers,snowfall,snow_depth,precipitation_probability
1999-07-09,Damaged beyond repair,4:30,4.0,4,Hawker,Aero Jet Express,,,Toluca,19.2925,-99.6569,1999-07-09 04:30:00,1999-07-09 04:00:00,11.7,93.0,10.6,91.0,4.7,86.0,747.9,0.6,0.6,0.0,0.0,0.0,
1999-08-22,Damaged beyond repair,18:43,315.0,3,McDonnell,China Airlines,Pratt Whitney,7.0,Hong Kong,22.3,114.2,1999-08-22 18:43:00,1999-08-22 18:00:00,26.1,95.0,25.2,100.0,43.0,192.0,1000.0,12.0,12.0,0.0,0.0,0.0,
1998-02-19,Damaged beyond repair,0:04,2.0,2,Swearingen,Ibertrans A챕rea,Garrett,22.0,Barcelona,41.3833,2.1833,1998-02-19 00:04:00,1998-02-19 00:00:00,7.6,96.0,6.9,0.0,7.0,305.0,1032.3,0.0,0.0,0.0,0.0,0.0,
1998-02-26,Substantial,17:29,92.0,0,Fokker,US Airways,,,Birmingham,52.48,-1.9025,1998-02-26 17:29:00,1998-02-26 17:00:00,10.5,72.0,5.7,99.0,19.9,228.0,1008.0,0.0,0.0,0.0,0.0,0.0,
1998-03-10,Substantial,16:39,66.0,0,British,Air Botswana,Lycoming,,Hwange,-18.3647,26.5,1998-03-10 16:39:00,1998-03-10 16:00:00,32.6,36.0,15.6,39.0,12.9,63.0,924.6,0.0,0.0,0.0,0.0,0.0,
1997-01-09,Destroyed,15:54,29.0,29,Embraer,Delta Connection,Pratt Whitney,6.0,Monroe,32.5185,-92.0774,1997-01-09 15:54:00,1997-01-09 15:00:00,2.0,78.0,-1.4,73.0,22.6,261.0,1006.9,0.0,0.0,0.0,0.0,0.0,
1997-03-04,Substantial,13:10 UTC,1.0,1,Cessna,Air Georgian,Pratt Whitney,9.0,Barrie,44.3711,-79.6769,1997-03-04 12:00:00,1997-03-04 12:00:00,-5.5,73.0,-9.6,99.0,6.4,117.0,987.0,0.0,0.0,0.0,0.07,0.2,
1997-05-08,Destroyed,21:28,74.0,35,Boeing,China Southern,CFMI,,Shenzhen,22.5415,114.0596,1997-05-08 21:28:00,1997-05-08 21:00:00,23.4,99.0,23.2,100.0,3.0,166.0,1007.9,1.8,1.8,0.0,0.0,0.0,
1997-05-22,Substantial,14:38,168.0,0,Boeing,Alitalia,General Electric,,Newark,40.7245,-74.1725,1997-05-22 14:38:00,1997-05-22 14:00:00,12.0,50.0,1.8,40.0,28.0,314.0,1014.4,0.0,0.0,0.0,0.0,0.0,
1997-06-07,Substantial,,19.0,0,CASA,Merpati Nusantara,Garrett,,Ambon,-3.6967,128.1783,1997-06-07 12:00:00,1997-06-07 12:00:00,26.7,71.0,21.0,2.0,5.4,94.0,1014.7,0.0,0.0,0.0,0.0,0.0,
